label,name,description
"news_info","News & Information","For general news articles, current events, and informative websites"
"tech_science","Technology & Science","Covering technology news, tutorials, and scientific content"
"entertainment","Entertainment","Including movies, music, TV shows, and other forms of entertainment"
"sports","Sports","For sports news, scores, team information, and related content"
"travel","Travel & Exploration","Covering travel guides, destination information, and travel tips"
"food","Food & Cooking","For recipes, cooking tips, restaurant reviews, and food-related content"
"health","Health & Wellness","Including fitness, health tips, medical resources, and wellness content"
"books","Books & Literature","For book recommendations, reviews, and literary content"
"education","Education & Learning","Covering online courses, educational resources, and learning platforms"
"art_culture","Art & Culture","Including art galleries, cultural events, and creative inspiration"
"finance_business","Finance & Business","For financial news, investment resources, and business-related content"
"lifestyle_fashion","Lifestyle & Fashion","Covering fashion trends, lifestyle blogs, and related topics"
"home_dyi","Home & DIY","Including home improvement, DIY projects, and interior design"
"gaming","Gaming","For video game news, reviews, gaming communities, and related content"
"social_media","Social Media & Networking","Covering social media platforms, networking sites, and online communities"
"productivity","Productivity & Tools","Including productivity tips, tools, software, and resources"
"environment","Environment & Sustainability","For environmental news, sustainability tips, and eco-friendly practices"
"automotive","Automotive","Covering cars, automotive news, reviews, and related content"
"family","Parenting & Family","Including parenting advice, family resources, and child development"
"humor","Humor & Fun","For funny videos, memes, jokes, and light-hearted content"
