label,name,description
"art_culture","Art & Culture","Including art galleries, cultural events, and creative inspiration"
"automotive","Automotive","Covering cars, automotive news, reviews, and related content"
"entertainment","Entertainment","Including movies, music, TV shows, and other forms of entertainment"
"environment","Environment & Sustainability","For environmental news, sustainability tips, and eco-friendly practices"
"family","Parenting & Family","Including parenting advice, family resources, and child development"
"finance_business","Finance & Business","For financial news, investment resources, and business-related content"
"food","Food & Cooking","For recipes, cooking tips, restaurant reviews, and food-related content"
"gaming","Gaming","For video game news, reviews, gaming communities, and related content"
"health","Health & Wellness","Including fitness, health tips, medical resources, and wellness content"
"home_dyi","Home & DIY","Including home improvement, DIY projects, and interior design"
"lifestyle_fashion","Lifestyle & Fashion","Covering fashion trends, lifestyle blogs, and related topics"
"news_info","News & Information","For general news articles, current events, and informative websites"
"sports","Sports","For sports news, scores, team information, and related content"
"tech_science","Technology & Science","Covering technology news, tutorials, and scientific content"
"travel","Travel & Exploration","Covering travel guides, destination information, and travel tips"
